License Number,Facility Name,DBA,Facility Type,Street,City,State,Zip Code,Date Updated,Latitude,Longitude
403-01526,SPRINGS DMC ENTERPRISES LLC,High Hopes,Medical Marijuana Cultivation,"288 South Academy Boulevard, Suite B",Colorado Springs,CO,80910,2024-09-03,38.8271622,-104.7589104
403-01209,SPRINGS DMC ENTERPRISES LLC,High Hopes,Medical Marijuana Cultivation,"296 South Academy Boulevard, Suite L",Colorado Springs,CO,80910,2024-09-03,38.8265287,-104.7586383
403-01546,STAYCON LLC,Craft,Medical Marijuana Cultivation,1812 La Crosse Avenue,Pueblo,CO,81006,2024-09-03,38.250102,-104.5889754
403-01271,STONE T.M.C. LLC,The Stone,Medical Marijuana Cultivation,1828 South Bannock Street,Denver,CO,80223,2024-09-03,39.683396,-104.989626
403-00053,SUMMIT WELLNESS,DENREC Denver Recreational Dispensary,Medical Marijuana Cultivation,2042 South Bannock Street,Denver,CO,80223,2024-09-03,39.6793381,-104.9897442
403-01733,SUNHOUSE COLORADO LLC,Sunhouse,Medical Marijuana Cultivation,4640 North Ironton Street,Denver,CO,80239,2024-09-03,39.782365,-104.863207
403-02342,SUNRISE SOLUTIONS,,Medical Marijuana Cultivation,43 Main Street,Bailey,CO,80421,2024-09-03,39.4064924,-105.4770246
403-02393,SUNSHINE BROADWAY LLC ,Sunshine,Medical Marijuana Cultivation,4949 Broadway Street Unit 55 & 56,Boulder,CO,80304,2024-09-03,40.0183964,-105.2801569
403-01945,SUNSHINE EXTRACTS LLC,Sunshine,Medical Marijuana Cultivation,7183 Arapahoe Road Unit A,Boulder,CO,80303,2024-09-03,40.0148418,-105.1865304
403-01999,SUNSHINE II LLC,,Medical Marijuana Cultivation,"7183 Arapahoe Road, Unit B",Boulder,CO,80301,2024-09-03,40.0148418,-105.1865304
403-02394,SUNSHINE NORTH LLC,Sunshine Flower,Medical Marijuana Cultivation,6859 North Foothills Highway Building G,Boulder,CO,80302,2024-09-03,40.098832,-105.282145
403-00685,SUSTAINABLE HEALTH LLC,14er Gardens,Medical Marijuana Cultivation,1840 Commerce Street Units D & E,Boulder,CO,80301,2024-09-03,40.018745,-105.2319
403-00744,SWEET DS FARMS LLC,Inferno Natural Gas,Medical Marijuana Cultivation,"5200 East Smith Road, Unit 100",Denver,CO,80216,2024-09-03,39.775054,-104.925976
403-00912,SWEET LEAF PIONEER LLC,,Medical Marijuana Cultivation,825A Chambers Avenue,Eagle,CO,81631,2024-09-03,39.6630101,-106.8187476
403-01499,SWEETWATER PARTNERS LLC,WS El Jefe,Medical Marijuana Cultivation,4260 Kearney Street,Denver,CO,80216,2024-09-03,39.775734,-104.9175089
403-01815,TESLA LLC,,Medical Marijuana Cultivation,4155 North Grape Street,Denver,CO,80216,2024-09-03,39.776502,-104.924644
403-01304,THE EPIC REMEDY LLC,The ER,Medical Marijuana Cultivation,2280 East Bijou Street,Colorado Springs,CO,80909,2024-09-03,38.8359284,-104.7872599
403-00575,THE EPIC REMEDY LLC,The ER,Medical Marijuana Cultivation,2565 Weston Road,Colorado Springs,CO,80910,2024-09-03,38.79543,-104.777712
403-01819,THE EPIC REMEDY LLC,The ER,Medical Marijuana Cultivation,2585 Weston Road,Colorado Springs,CO,80910,2024-09-03,38.795597,-104.777456
