Name,Street,City,State,Zip,Type,Latitude,Longitude
Eclipse Cannabis Company,933 Alpine Ave Unit 2,Boulder,CO,80304,Recreational,40.0258738,-105.2848987
Elite Organics,804 S College Ave Unit C,Fort Collins,CO,80524,Undisclosed,40.5763751,-105.0767149
Elements Boulder,1534 55th St Boulder,Boulder,CO,80303,Recreational,40.0138182,-105.2248919
Elevated Dispensary,9800 N 119th St,Longmont,CO,80501,Recreational,40.1537089,-105.0737821
Emerald Fields,4182 E Virginia Ave,Glendale,CO,80246,Recreational,39.7071239,-104.9389762
Emerald Fields,27 Manitou Ave,Manitou Springs,CO,80829,Recreational,38.856937,-104.8900608
The Epic Remedy,3995 N Academy Blvd,Colorado Springs,CO,80917,Medical,38.8899711,-104.7564696
The Epic Remedy,1202 E Fillmore St,Colorado Springs,CO,80907,Medical,38.8738299,-104.8043401
The Epic Remedy,2712 E Fountain Blvd,Colorado Springs,CO,80910,Medical,38.8178809,-104.781281
Euflora,710 E Durant Ave,Aspen,CO,81611,Undisclosed,39.1868295,-106.8161798
Euflora,4343 S Buckley Road,Aurora,CO,80013,Undisclosed,39.6373002,-104.7920785
Euflora,6260 S Gun Club Road,Aurora,CO,80016,Undisclosed,39.6025572,-104.7156415
Euflora,4304 Brighton Blvd,Denver,CO,80216,Undisclosed,39.7774174,-104.9695094
Euflora,403 16th St,Denver,CO,80202,Undisclosed,39.7433309,-104.989627
Euflora,250 Main Street,Street Longmont,CO,80501,Undisclosed,40.801555,-105.588841
EverBloom,10185 W 49th Ave,Wheat Ridge,CO,80033,Undisclosed,39.7857131,-105.1119853
The Farm,2801 Iris Ave,Boulder,CO,80301,Recreational,40.036542,-105.257038
The Farm Express,5420 Arapahoe Ave Unit D,Boulder,CO,80303,Recreational,40.0141938,-105.227272
The Farmers Market,9206 E Hampden Ave,Denver,CO,80231,Undisclosed,39.6529764,-104.8809264
Fiddler’s Green Cannabis Dispensary,402 Palomino Trail,Ridgway,CO,81432,Undisclosed,38.1499029,-107.745143
Flower Power Botanicals,1308 Duff Dr,Fort Collins,CO,80524,Undisclosed,40.5903171,-105.0522535
Floyd’s Fine Cannabis,402 Palomino Trail,Ridgway,CO,81432,Recreational,38.1499029,-107.745143
Fountain Medical,510 Rio Vista Suite,Colorado Springs,CO,80917,Medical,38.871533,-104.722592
Franks Farm,715 S Circle Dr,Springs CO,CO,80910,Medical,38.8217118,-104.7801552
Freco Cann,1505 Elm Ave,Canon City,CO,81212,Recreational,38.424791,-105.21293
Fremont County Cannabis,1505 Elm Ave,Canon City,CO,81212,Medical,38.424791,-105.21293
Fresh Baked,2539 Pearl St,Boulder,CO,80302,Recreational,40.021576,-105.2623036
Frosted Leaf,6302 E Colfax Ave,Denver,CO,80220,Undisclosed,39.740064,-104.9148789
Frosted Leaf,445 Federal Blvd,Denver,CO,80204,Undisclosed,39.723604,-105.025234
Frosted Leaf,399 S Harrison St,Denver,CO,80209,Undisclosed,39.7094213,-104.9416554
Frosted Leaf,500 W HWY 50 Suite 102,Gunnison,CO,81230,Undisclosed,38.532212,-106.953438
Ganja Gourmet,1810 S Broadway,Denver,CO,80210,Undisclosed,39.6836807,-104.9874413
Golden Alternative Medicine,511 Orchard Street 2nd floor,Golden,CO,80401,Medical,39.7233264,-105.179687
Golden Meds,329 E Pikes Peak Ave,Colorado Springs,CO,80903,Undisclosed,38.8334515,-104.8185157
Golden Meds,1755 S Broadway,Denver,CO,80210,Undisclosed,39.6847917,-104.9876464
Golden Meds,543 Bryant St,Denver,CO,80204,Undisclosed,39.7243206,-105.0187723
Golden Meds,330 Federal Blvd,Denver,CO,80219,Undisclosed,39.7216035,-105.0250018
Golden Meds,970 S Oneida St,Denver,CO,80224,Undisclosed,39.6991401,-104.908125
Golden Meds,4620 Peoria St,Denver,CO,80239,Undisclosed,39.780238,-104.8469107
Golden Meds,2280 S Quebec St,Denver,CO,80231,Undisclosed,39.6749809,-104.9030935
